Species,Harvest,Hunters,Days
Okanogan,312,85,281
Pacific,0,0,0
Pend Oreille,982,196,"1,223"
Pierce,912,153,"1,067"
San Juan,116,43,123
Skagit,"1,718",344,"2,684"
Skamania,87,40,117
Snohomish,746,238,"1,682"
Spokane,"2,977",393,"2,936"
Stevens,"1,193",169,"1,164"
Thurston,639,137,853
Wahkiakum,0,0,0
Walla Walla,"1,627",284,"1,833"
Whatcom,"1,840",321,"2,914"
Whitman,263,79,249
Yakima,"3,363",496,"3,526"
Adams,"1,078",112,303
Asotin,271,34,176
Benton,"2,735",140,559
Chelan,206,33,76
Clallam,0,0,0
Clark,648,39,147
Columbia,79,16,36
Cowlitz,43,21,57
Douglas,"1,082",95,234
Ferry,7,8,9
Franklin,"3,153",171,677
Garfield,93,26,31
Grant,"8,938",626,"1,861"
Grays Harbor,146,26,87
Island,53,8,9
Jefferson,0,0,0
King,190,25,42
Kitsap,26,11,16
Kittitas,520,36,108
Klickitat,10,10,12
Lewis,90,26,48
Lincoln,211,34,78
Mason,7,12,20
Okanogan,391,55,112
Pacific,0,0,0
Pend Oreille,7,10,15
Pierce,86,15,30
San Juan,0,0,0
Skagit,95,16,35
Skamania,0,0,0
Snohomish,56,19,30
Spokane,292,45,136
Stevens,22,13,22
Thurston,111,32,84
Wahkiakum,0,0,0
Walla Walla,642,85,272
Whatcom,78,17,24
Whitman,156,33,93
Yakima,"6,918",412,"1,689"
Adams,"1,171",281,"1,307"
Asotin,333,122,447
Benton,"1,139",365,"1,433"
Chelan,333,224,726
Clallam,16,6,25
Clark,"2,867",528,"3,894"
Columbia,"1,376",357,"2,173"
Cowlitz,506,85,514
Douglas,216,160,576
Ferry,238,74,196
Franklin,"1,993",625,"2,894"
Garfield,"1,955",475,"1,851"
Grant,"5,527","1,893","9,224"
Grays Harbor,880,153,"1,333"
Island,826,97,678
Jefferson,16,19,28
King,"1,691",381,"2,950"
Kitsap,47,26,111
Kittitas,234,140,429
Klickitat,94,61,232
Lewis,"1,467",206,"1,395"
Lincoln,"1,571",542,"2,130"
Mason,"2,006",218,"1,706"
Okanogan,400,223,945
Pacific,288,57,326
Pend Oreille,19,18,30
Pierce,"2,502",183,"1,910"
San Juan,12,7,15
Skagit,130,54,122
Skamania,7,11,25
Snohomish,"2,381",511,"3,756"
Spokane,"1,366",512,"1,653"
Stevens,95,56,143
Thurston,"5,190",662,"6,016"
Wahkiakum,60,14,67
Walla Walla,"2,557",863,"4,024"
Whatcom,"3,579",494,"4,477"
Whitman,"5,387","1,184","5,773"
Yakima,"2,085",695,"4,179"
Adams,"1,118",116,636
Asotin,136,57,170
Benton,"1,214",223,"1,557"
Chelan,"1,137",197,"1,323"
Clallam,88,38,70
Clark,5,8,7
Columbia,769,126,689
Cowlitz,14,12,14
Douglas,"1,618",221,863
Ferry,15,21,60
Franklin,"1,165",211,996
Garfield,384,76,581
Grant,"4,520",883,"4,376"
Grays Harbor,10,10,17
Island,2,11,48
Jefferson,21,14,56
King,4,7,6
Kitsap,7,11,11
Kittitas,218,126,373
Klickitat,105,73,431
Lewis,10,25,41
Lincoln,"1,460",236,"1,153"
Mason,19,30,126
Okanogan,"2,188",357,"1,676"
Pacific,0,0,0
Pend Oreille,190,28,152
Pierce,21,19,64
San Juan,0,0,0
Skagit,2,8,10
Skamania,8,17,34
Snohomish,3,8,10
Spokane,"1,817",224,"1,468"
Stevens,70,52,145
Thurston,47,28,93
Wahkiakum,10,7,32
Walla Walla,"1,590",234,"1,387"
Whatcom,3,8,9
Whitman,733,179,"1,043"
Yakima,"6,845",657,"4,411"
Adams,39,17,19
Asotin,0,0,0
Benton,135,54,56
Chelan,26,16,25
Clallam,42,12,17
Clark,115,93,205
Columbia,17,11,17
Cowlitz,33,23,34
Douglas,77,25,33
Ferry,0,0,0
Franklin,51,31,41
Garfield,0,0,0
Grant,176,86,158
Grays Harbor,62,63,182
Island,19,17,20
Jefferson,13,11,12
King,31,14,18
Kitsap,10,16,26
Kittitas,255,32,70
Klickitat,63,21,48
Lewis,84,34,57
Lincoln,242,33,221
Mason,14,11,16
Okanogan,67,23,25
Pacific,23,13,16
Pend Oreille,96,36,134
Pierce,61,39,64
San Juan,34,19,25
Skagit,149,73,111
Skamania,38,26,45
Snohomish,126,52,131
Spokane,279,56,332
Stevens,46,41,61
Thurston,52,33,61
Wahkiakum,61,39,68
Walla Walla,80,24,110
Whatcom,288,87,147
Whitman,143,41,106
Yakima,153,45,72
Adams,7,7,6
Asotin,0,0,0
Benton,15,12,22
Chelan,6,8,8
Clallam,0,0,0
Clark,3,7,4
Columbia,0,0,0
Cowlitz,3,9,5
Douglas,5,7,9
Ferry,0,0,0
Franklin,0,0,0
Garfield,3,8,6
Grant,61,23,43
Grays Harbor,91,21,35
Island,0,0,0
