GMU,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5 Point,6+ Point
"419
                - GUEMES",0,0,0,0,0,0,0,0,0
"420
                - WHIDBEY",0,0,0,0,0,0,0,0,0
"421
                - CAMANO",0,0,0,0,0,0,0,0,0
"448
                - STILLAGUAMISH",0,0,0,0,0,0,0,0,0
"450
                - CASCADE",0,0,0,0,0,0,0,0,0
Totals,0,0,0,0,0,0,0,0,0
"407
                - NORTH SOUND",7,13,20,5,0,2,0,4,2
"418
                - NOOKSACK",2,16,18,0,0,2,1,8,5
"426
                - DIABLO",0,0,0,0,0,0,0,0,0
"437
                - SAUK",11,10,21,1,0,1,0,2,6
Totals,20,39,59,6,0,5,1,14,13
"621
                - OLYMPIC",0,3,3,0,0,0,0,3,0
"624
                - COYLE",0,0,0,0,0,0,0,0,0
"627
                - KITSAP",0,0,0,0,0,0,0,0,0
"633
                - MASON",0,0,0,0,0,0,0,0,0
"636
                - SKOKOMISH",0,3,3,0,0,0,0,3,0
"651
                - SATSOP",0,10,10,0,0,2,0,4,4
Totals,0,16,16,0,0,2,0,10,4
"601
                - HOKO",0,1,1,0,0,0,1,0,0
"602
                - DICKEY",1,18,19,0,0,1,10,5,2
"603
                - PYSHT",1,12,13,0,0,2,2,8,0
"607
                - SOL DUC",3,11,14,0,0,2,7,2,0
"612
                - GOODMAN",4,8,12,0,0,4,4,0,0
"615
                - CLEARWATER",3,35,38,0,0,7,14,14,0
Totals,12,85,97,0,0,16,38,29,2
"618
                - MATHENY",0,7,7,0,0,0,2,5,0
"638
                - QUINAULT RIDGE",0,21,21,0,0,0,8,8,5
"642
                - COPALIS",0,6,6,0,0,0,2,4,0
"648
                - WYNOOCHEE",5,22,27,0,0,0,7,8,7
"658
                - NORTH RIVER",12,52,64,0,0,3,26,18,5
"660
                - MINOT PEAK",11,53,64,0,0,2,32,14,5
"663
                - CAPITOL PEAK",2,2,4,0,0,0,0,2,0
"672
                - FALL RIVER",26,35,61,0,0,6,9,16,4
"673
                - WILLIAMS CREEK",54,101,155,2,0,10,54,27,8
"681
                - BEAR RIVER",24,80,104,0,0,0,50,24,6
"684
                - LONG BEACH",9,26,35,0,2,15,0,6,3
"699
                - LONG ISLAND",6,11,17,0,0,0,1,10,0
Totals,149,416,565,2,2,36,191,142,43
