GMU,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5 Point,6+ Point
Totals,12,4,16,0,0,0,1,3,0
"618
                - MATHENY",0,1,1,0,0,0,0,1,0
"638
                - QUINAULT RIDGE",0,2,2,0,0,0,1,0,1
"642
                - COPALIS",0,0,0,0,0,0,0,0,0
"648
                - WYNOOCHEE",5,0,5,0,0,0,0,0,0
"658
                - NORTH RIVER",12,0,12,0,0,0,0,0,0
"660
                - MINOT PEAK",5,1,6,0,0,0,0,1,0
"663
                - CAPITOL PEAK",0,0,0,0,0,0,0,0,0
"672
                - FALL RIVER",4,0,4,0,0,0,0,0,0
"673
                - WILLIAMS CREEK",32,0,32,0,0,0,0,0,0
"681
                - BEAR RIVER",0,0,0,0,0,0,0,0,0
"684
                - LONG BEACH",0,0,0,0,0,0,0,0,0
"699
                - LONG ISLAND",0,0,0,0,0,0,0,0,0
Totals,58,4,62,0,0,0,1,2,1
