GMU,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point
Totals,90,673,763,127,248,176,82,40
621 - OLYMPIC,46,305,351,76,135,61,27,6
624 - COYLE,49,284,333,56,117,79,26,6
627 - KITSAP,40,270,310,54,100,53,38,25
633 - MASON,45,375,420,105,160,80,18,12
636 - SKOKOMISH,17,121,138,39,61,14,5,2
651 - SATSOP,25,335,360,122,166,31,11,5
Totals,222,"1,690","1,912",452,739,318,125,56
601 - HOKO,0,41,41,6,23,9,3,0
602 - DICKEY,0,53,53,25,19,7,0,2
603 - PYSHT,0,95,95,27,41,23,2,2
607 - SOL DUC,0,34,34,13,9,10,2,0
612 - GOODMAN,0,34,34,7,21,6,0,0
615 - CLEARWATER,0,28,28,5,19,1,3,0
Totals,0,285,285,83,132,56,10,4
618 - MATHENY,0,2,2,2,0,0,0,0
638 - QUINAULT RIDGE,0,6,6,2,2,2,0,0
642 - COPALIS,0,35,35,14,18,3,0,0
648 - WYNOOCHEE,33,191,224,61,92,28,6,4
658 - NORTH RIVER,10,104,114,26,50,20,6,2
660 - MINOT PEAK,27,203,230,74,102,20,5,2
663 - CAPITOL PEAK,54,301,355,79,141,54,27,0
672 - FALL RIVER,60,269,329,96,119,40,14,0
673 - WILLIAMS CREEK,5,113,118,24,52,29,6,2
681 - BEAR RIVER,0,63,63,2,33,15,11,2
684 - LONG BEACH,2,19,21,2,5,8,4,0
699 - LONG ISLAND,0,2,2,2,0,0,0,0
Totals,191,"1,308","1,499",384,614,219,79,12
