GMU,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point
624 - COYLE,4,1,5,0,1,0,0,0
627 - KITSAP,2,1,3,0,0,0,1,0
633 - MASON,5,5,10,1,2,2,0,0
636 - SKOKOMISH,8,3,11,1,2,0,0,0
651 - SATSOP,21,3,24,0,3,0,0,0
Totals,47,15,62,2,9,2,2,0
601 - HOKO,0,1,1,0,1,0,0,0
602 - DICKEY,0,1,1,0,1,0,0,0
603 - PYSHT,0,3,3,1,2,0,0,0
607 - SOL DUC,0,1,1,0,1,0,0,0
612 - GOODMAN,0,1,1,1,0,0,0,0
615 - CLEARWATER,0,0,0,0,0,0,0,0
Totals,0,7,7,2,5,0,0,0
618 - MATHENY,0,0,0,0,0,0,0,0
638 - QUINAULT RIDGE,0,0,0,0,0,0,0,0
642 - COPALIS,0,0,0,0,0,0,0,0
648 - WYNOOCHEE,11,3,14,1,2,0,0,0
658 - NORTH RIVER,1,2,3,0,0,1,1,0
660 - MINOT PEAK,11,4,15,2,1,1,0,0
663 - CAPITOL PEAK,7,4,11,0,3,1,0,0
672 - FALL RIVER,1,4,5,0,3,1,0,0
673 - WILLIAMS CREEK,2,1,3,0,1,0,0,0
681 - BEAR RIVER,0,1,1,0,0,1,0,0
684 - LONG BEACH,0,0,0,0,0,0,0,0
699 - LONG ISLAND,0,0,0,0,0,0,0,0
Totals,33,19,52,3,10,5,1,0
